Kanji,ToPronounce,Meaning
,かいぎしつ,conference room
,はがき,postcard
,きって,postal stamps
,きょしつ,classroom
,わかい,young
,くすり,medicine
,やくそく,promise; appointment
,すぐ,right away
,ゆっくり,slowly; leisurely; unhurriedly
,それから,then
,これから,from now on
,あとで,later on
,まず,firstly
,くだもの,fruit
,いたい,hurt; painful
,おなか,stomach
,あたま,head
,ねつ,temperature; fever
,せきがでます,to have a cough
,かぜ,cold; flu
,しゅくだい,homework
,じゅうしょ,address
,はらう、はらいます,to pay (~を)
,なくす、なくします,to lose
,おく、おきます,to put; to lay; to place
,あぶない,dangerous
,かかる、かかります,to take time or money
,にく,肉 meat
,だいたい,mostly; roughly
,たいへん,tough
,かんたん,easy; simple
,おとうと,my younger brother
,いもうと,my younger sister
,あね,my older sister
,あに,my older brother
,あかるい,bright; cheerful
,おねがいします,please
,まだまだ,not yet; far from it
